route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,BUS,Tournai -- Mouscron,,700,,,
10,NMBS/SNCB,BUS,Termonde -- Waregem,,700,,,
100,NMBS/SNCB,L,Audenarde -- Renaix,,100,,,
101,NMBS/SNCB,IC,Bruxelles-Midi -- Rochefort-Jemelle,,103,,,
102,NMBS/SNCB,IC,Libramont -- Arlon,,103,,,
103,NMBS/SNCB,IC,Audenarde -- Courtrai,,103,,,
104,NMBS/SNCB,IC,Audenarde -- Denderleeuw,,103,,,
105,NMBS/SNCB,IC,Ostende -- Lichtervelde,,103,,,
106,NMBS/SNCB,IC,Bruges -- Lichtervelde,,103,,,
107,NMBS/SNCB,L,Vilvorde -- Bruxelles-Midi,,100,,,
108,NMBS/SNCB,L,Anvers-Central -- Kontich-Lint,,100,,,
109,NMBS/SNCB,IC,La Louviere-Sud -- Binche,,103,,,
11,NMBS/SNCB,BUS,Bruges -- Ostende,,700,,,
110,NMBS/SNCB,IC,Binche -- Braine-Le-Comte,,103,,,
111,NMBS/SNCB,IC,La Louviere-Sud -- Braine-Le-Comte,,103,,,
112,NMBS/SNCB,IC,Hasselt -- Genk,,103,,,
113,NMBS/SNCB,L,Namur -- Tamines,,100,,,
114,NMBS/SNCB,L,Marloie -- Bomal,,100,,,
115,NMBS/SNCB,L,Bruges -- Gand-Saint-Pierre,,100,,,
116,NMBS/SNCB,L,Rochefort-Jemelle -- Bomal,,100,,,
117,NMBS/SNCB,IC,Anvers-Central -- Louvain,,103,,,
118,NMBS/SNCB,IC,Lichtervelde -- La Panne,,103,,,
119,NMBS/SNCB,L,Mons -- Quevy,,100,,,
12,NMBS/SNCB,BUS,Libramont -- Bertrix,,700,,,
120,NMBS/SNCB,IC,Menin -- Poperinge,,103,,,
121,NMBS/SNCB,IC,Mons -- Braine-Le-Comte,,103,,,
122,NMBS/SNCB,L,Schaerbeek -- Louvain,,100,,,
123,NMBS/SNCB,L,De Pinte -- Renaix,,100,,,
124,NMBS/SNCB,IC,Tamines -- Mons,,103,,,
125,NMBS/SNCB,IC,Mons -- Tournai,,103,,,
126,NMBS/SNCB,IC,Mons -- La Louviere-Sud,,103,,,
127,NMBS/SNCB,IC,Charleroi-Sud -- Mons,,103,,,
128,NMBS/SNCB,IC,Tamines -- Tournai,,103,,,
129,NMBS/SNCB,IC,Charleroi-Sud -- Mouscron,,103,,,
13,NMBS/SNCB,BUS,Malines -- Londerzeel,,700,,,
130,NMBS/SNCB,IC,La Louviere-Sud -- Mouscron,,103,,,
131,NMBS/SNCB,L,Jurbise -- Quevy,,100,,,
132,NMBS/SNCB,L,Anvers-Central -- Lierre,,100,,,
133,NMBS/SNCB,L,Mons -- Jurbise,,100,,,
134,NMBS/SNCB,P,Louvain -- Deinze,,103,,,
135,NMBS/SNCB,P,Sint-Joris-Weert -- Gand-Saint-Pierre,,103,,,
136,NMBS/SNCB,IC,Tongres -- Liege-Guillemins,,103,,,
137,NMBS/SNCB,IC,Saint-Ghislain -- Tournai,,103,,,
138,NMBS/SNCB,IC,Namur -- Charleroi-Sud,,103,,,
139,NMBS/SNCB,IC,La Louviere-Sud -- Tournai,,103,,,
14,NMBS/SNCB,BUS,Luttre -- Charleroi-Sud,,700,,,
140,NMBS/SNCB,L,Libramont -- Bertrix,,100,,,
141,NMBS/SNCB,L,Arlon -- Athus,,100,,,
142,NMBS/SNCB,S34,Anvers-Central -- Saint-Nicolas,,100,,,
143,NMBS/SNCB,IC,Genk -- Bruges,,103,,,
144,NMBS/SNCB,IC,Landen -- Bruges,,103,,,
145,NMBS/SNCB,IC,Genk -- Blankenberge,,103,,,
146,NMBS/SNCB,IC,Landen -- Blankenberge,,103,,,
147,NMBS/SNCB,IC,Hasselt -- Blankenberge,,103,,,
148,NMBS/SNCB,IC,Bruges -- Gand-Saint-Pierre,,103,,,
149,NMBS/SNCB,IC,Bruges -- Blankenberge,,103,,,
15,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Deinze,,700,,,
150,NMBS/SNCB,IC,Blankenberge -- Gand-Saint-Pierre,,103,,,
