route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,BUS,Tournai -- Mouscron,,700,,,
10,NMBS/SNCB,BUS,Libramont -- Bertrix,,700,,,
100,NMBS/SNCB,IC,Ostende -- Gand-Saint-Pierre,,103,,,
101,NMBS/SNCB,L,Audenarde -- Renaix,,100,,,
102,NMBS/SNCB,IC,Bruxelles-Midi -- Rochefort-Jemelle,,103,,,
103,NMBS/SNCB,IC,Libramont -- Arlon,,103,,,
104,NMBS/SNCB,L,Luttre -- Charleroi-Sud,,100,,,
105,NMBS/SNCB,IC,Audenarde -- Courtrai,,103,,,
106,NMBS/SNCB,IC,Ostende -- Lichtervelde,,103,,,
107,NMBS/SNCB,IC,Bruges -- Lichtervelde,,103,,,
108,NMBS/SNCB,L,Vilvorde -- Bruxelles-Midi,,100,,,
109,NMBS/SNCB,L,Anvers-Central -- Kontich-Lint,,100,,,
11,NMBS/SNCB,BUS,Malines -- Londerzeel,,700,,,
110,NMBS/SNCB,IC,La Louviere-Sud -- Binche,,103,,,
111,NMBS/SNCB,IC,Binche -- Braine-Le-Comte,,103,,,
112,NMBS/SNCB,IC,La Louviere-Sud -- Braine-Le-Comte,,103,,,
113,NMBS/SNCB,IC,Hasselt -- Genk,,103,,,
114,NMBS/SNCB,IC,Liege-Guillemins -- Welkenraedt,,103,,,
115,NMBS/SNCB,L,Namur -- Tamines,,100,,,
116,NMBS/SNCB,L,Marloie -- Bomal,,100,,,
117,NMBS/SNCB,L,Bruges -- Gand-Saint-Pierre,,100,,,
118,NMBS/SNCB,L,Rochefort-Jemelle -- Bomal,,100,,,
119,NMBS/SNCB,IC,Anvers-Central -- Louvain,,103,,,
12,NMBS/SNCB,BUS,Luttre -- Charleroi-Sud,,700,,,
120,NMBS/SNCB,IC,Lichtervelde -- La Panne,,103,,,
121,NMBS/SNCB,L,Mons -- Quevy,,100,,,
122,NMBS/SNCB,IC,Menin -- Poperinge,,103,,,
123,NMBS/SNCB,IC,Mons -- Braine-Le-Comte,,103,,,
124,NMBS/SNCB,L,Schaerbeek -- Louvain,,100,,,
125,NMBS/SNCB,L,De Pinte -- Renaix,,100,,,
126,NMBS/SNCB,L,De Pinte -- Audenarde,,100,,,
127,NMBS/SNCB,IC,Tamines -- Mons,,103,,,
128,NMBS/SNCB,IC,Mons -- Tournai,,103,,,
129,NMBS/SNCB,IC,Mons -- La Louviere-Sud,,103,,,
13,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Deinze,,700,,,
130,NMBS/SNCB,IC,Charleroi-Sud -- Mons,,103,,,
131,NMBS/SNCB,IC,Tamines -- Tournai,,103,,,
132,NMBS/SNCB,IC,Charleroi-Sud -- Mouscron,,103,,,
133,NMBS/SNCB,IC,La Louviere-Sud -- Mouscron,,103,,,
134,NMBS/SNCB,IC,Charleroi-Sud -- Tournai,,103,,,
135,NMBS/SNCB,L,Jurbise -- Quevy,,100,,,
136,NMBS/SNCB,L,Anvers-Central -- Lierre,,100,,,
137,NMBS/SNCB,L,Mons -- Jurbise,,100,,,
138,NMBS/SNCB,P,Louvain -- Deinze,,103,,,
139,NMBS/SNCB,P,Sint-Joris-Weert -- Gand-Saint-Pierre,,103,,,
14,NMBS/SNCB,BUS,Deinze -- Lichtervelde,,700,,,
